Created - 17:16:25.234504: Large marble: 5-Star, marbles: ['Middle Green Yellow', 'Pale Cerulean', 'Golden Yellow', 'Cobalt Blue', 'La Salle Green', 'Light Orange', 'White Smoke']
Created - 17:16:25.310106: Large marble: 5-Star, marbles: ['Isabelline', 'Royal Red', 'Middle Green Yellow', 'Gold', 'Purple', 'Venetian Red', 'Cobalt Blue']
Created - 17:16:25.383180: Large marble: Hercules, marbles: ['Golden Yellow', 'Blue-Green', 'Icterine', 'Cotton Candy', 'Purple Plum', 'Purple Plum', 'Cotton Candy']
Created - 17:16:25.456414: Large marble: Hercules, marbles: ['Pastel Gray', 'Liver Chestnut', 'Sage', 'Royal Blue', 'Emerald', 'Bistre Brown', 'Pastel Blue']
Created - 17:16:25.528286: Large marble: Spinner, marbles: ['Orange Soda', 'Black Coral', 'Zomp', 'Pale Plum', 'Sheen Green', 'Pale Taupe', 'Maximum Blue']
Created - 17:16:25.601691: Large marble: Lucky, marbles: ['Blue', 'Liver Chestnut', 'Pale Cerulean', 'Gold', 'Lavender Purple', 'Granny Smith Apple', 'Middle Red Purple']
Created - 17:16:25.674754: Large marble: Spinner, marbles: ['Mango Tango', 'Ivory', 'Big Dip O’ruby', 'Ruby', 'Light Orchid', 'Bistre Brown', 'Pale Cerulean']
Created - 17:16:25.747675: Large marble: Zeus, marbles: ['Thulian Pink', 'Maximum Violet', 'Pastel Blue', 'Middle Green', 'Purple Plum', 'Maximum Blue', 'Mode Beige']
Created - 17:16:25.821339: Large marble: Spinner, marbles: ['Indigo', 'Antique Brass', 'Lilac Luster', 'Neon Pink', 'La Salle Green', 'Tuscan Brown', 'Sage']
Created - 17:16:25.895051: Large marble: Big Joe, marbles: ['Candy Pink', 'Shandy', 'Orange Soda', 'Lumber', 'Russian Green', 'Maximum Violet', 'Spanish Pink']
Created - 17:16:25.967696: Large marble: Big Joe, marbles: ['Dark Moss Green', 'Cotton Candy', 'Middle Green', 'Blue', 'Cotton Candy', 'La Salle Green', 'Rose Quartz']
Created - 17:16:26.041755: Large marble: Spinner, marbles: ['Cobalt Blue', 'Pale Cerulean', 'Platinum', 'Candy Pink', 'Middle Red Purple', 'Fiery Rose', 'Honeydew']
Created - 17:16:26.116120: Large marble: Hercules, marbles: ['Pale Cerulean', 'Middle Red Purple', 'Lilac Luster', 'Icterine', 'Maximum Purple', 'Venetian Red', 'Lumber']
Created - 17:16:26.189587: Large marble: 5-Star, marbles: ['Middle Red Purple', 'Purple Plum', 'Venetian Red', 'Royal Orange', 'Almond', 'Bistre Brown', 'Chinese Red']
Created - 17:16:26.264736: Large marble: Winner, marbles: ['Lumber', 'Royal Blue', 'Neon Silver', 'Eerie Black', 'Antique Bronze', 'Beaver', 'Terra Cotta']
Created - 17:16:26.338558: Large marble: Lucky, marbles: ['Auburn', 'Indigo', 'Rose Quartz', 'Rose Dust', 'Fiery Rose', 'Maximum Purple', 'Antique Bronze']
